Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Armando Benitez,- - -,104,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,865
Sam Demel,ARI,72,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,868
Kane Davis,PHI,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,872
Scott Carroll,CHW,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,888
Scott Strickland,FLA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,897
Chad Bradford,- - -,236,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,904
Chad Harville,TBD,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,915
Mike Holtz,BOS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,920
Mike Venafro,COL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,943
Rheal Cormier,- - -,70,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,952
Cliff Politte,CHW,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,967
Brian Meadows,TBD,53,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,998
Al Reyes,TBD,87,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1005
Scott Sauerbeck,- - -,46,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1007
Kevin Jarvis,- - -,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1037
John Halama,BAL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1080
Julio Mateo,SEA,57,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1087
Jeff Nelson,CHW,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1092
Rafael Soriano,- - -,528,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1100
Jay Witasick,- - -,56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1138
Josh Butler,MIL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1141
Robert Coello,- - -,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1149
Mike Timlin,BOS,165,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1187
Travis Harper,TBD,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1211
Jason Standridge,- - -,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1229
Tanyon Sturtze,- - -,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1230
Esteban Yan,- - -,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1236
Hector Carrasco,LAA,85,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1240
Matt Bush,TEX,136,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1246
Dan Kolb,- - -,56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1257
Pete Walker,TOR,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1325
Pedro Beato,- - -,85,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1330
Evan Reed,DET,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1349
Nick Hagadone,CLE,143,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1351
Brian Omogrosso,CHW,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1353
Andrew Bailey,- - -,265,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1368
Charlie Furbush,- - -,247,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1370
Joaquin Benoit,- - -,661,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1437
Bryan Corey,- - -,87,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1439
Brendan Donnelly,- - -,172,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1441
Dan Miceli,TBD,33,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1463
Bret Prinz,CHW,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1474
Mike Smith,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1479
Jon Edwards,- - -,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1483
Rob Bell,BAL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1492
Francis Beltran,DET,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1530
Ryan Bukvich,- - -,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1531
Luke Hudson,KCR,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1542
Lance Carter,LAD,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1592
Franklyn German,- - -,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1603
Eric DuBose,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1633
Stephen Randolph,HOU,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1655
Chris Spurling,- - -,65,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1668
Matt Roney,OAK,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1670
Aquilino Lopez,DET,58,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1671
Trever Miller,- - -,389,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1672
Kiko Calero,- - -,188,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1676
Steve Colyer,ATL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1678
Kyle Snyder,- - -,65,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1689
Erasmo Ramirez,- - -,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1699
Julio Manon,BAL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1732
Matt Miller,CLE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1754
Greg Jones,LAA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1782
Jon Switzer,- - -,65,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1786
J.J. Putz,- - -,451,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1795
David Cortes,COL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1798
Dan Serafini,COL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1812
Lino Urdaneta,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1862
Allan Simpson,MIL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1864
Chris Mabeus,MIL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1892
Akinori Otsuka,TEX,97,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1895
Jason Frasor,- - -,549,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1906
Brian Bruney,- - -,196,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1929
Frank Francisco,- - -,346,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1933
Josh Judy,CLE,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,1975
Chris Booker,- - -,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2039
Joselo Diaz,- - -,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2057
Jon Leicester,BAL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2092
Francisco Cruceta,- - -,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2104
Fernando Cabrera,- - -,113,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2105
Arnie Munoz,WSN,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2111
Andrew Brown,- - -,73,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2115
Santiago Ramirez,WSN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2122
Yhency Brazoban,- - -,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2150
Clint Nageotte,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2156
Ezequiel Astacio,HOU,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2169
Dennis Sarfate,- - -,92,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2174
Eddy Rodriguez,BAL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2193
Jake Woods,SEA,56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2196
Phil Stockman,ATL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2206
Bartolome Fortunato,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2213
Colter Bean,NYY,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2246
Agustin Montero,CHW,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2268
Jay Sborz,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2271
Randy Williams,- - -,59,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2362
Andrew Brackman,NYY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2365
Jason Childers,TBD,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2379
Andrew Carignan,OAK,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2431
Marino Salas,PIT,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2432
Alex Serrano,LAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2436
Brian Shackelford,CIN,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2461
Jermaine Van Buren,BOS,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2492
Steve Stemle,KCR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2518
Juan Salas,TBD,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2533
Mason Tobin,TEX,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2534
Dustin Richardson,BOS,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2548
Joe Paterson,ARI,73,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2565
Yoel Hernandez,PHI,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2576
Juan Lara,CLE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2613
Brad Salmon,CIN,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2625
Scott Dunn,TBD,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2634
Aaron Rakers,SDP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2638
Dan Giese,- - -,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2656
Andy Cavazos,STL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2668
Ruddy Lugo,- - -,102,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2710
Sendy Rleal,BAL,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2737
Scott Rice,NYM,105,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2743
Bobby Cramer,OAK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2744
Davis Romero,TOR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2756
Rich Rundles,CLE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2760
Julio DePaula,MIN,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2786
Jeff Ridgway,- - -,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2819
Fabio Castillo,LAD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2826
John Gaub,CHC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2857
Daniel Moskos,PIT,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2858
Eddie Kunz,NYM,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2862
Jailen Peguero,ARI,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2913
Jeff Bajenaru,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2920
Carmen Cali,MIN,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2964
Bruce Billings,- - -,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3044
Matt Smith,- - -,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3053
Anthony Slama,MIN,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3064
Carmen Pignatiello,CHC,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3088
Bill White,TEX,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3089
Harvey Garcia,FLA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3100
Jason Miller,MIN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3104
Emiliano Fruto,SEA,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3106
Doug Slaten,- - -,216,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3107
Jon Huber,SEA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3109
Marc Gwyn,LAA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3116
Erick Threets,- - -,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3158
Marcos Carvajal,FLA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3216
Jose Valdez,HOU,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3217
Tyler Robertson,MIN,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3223
Angel Castro,OAK,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3243
Ambiorix Burgos,- - -,85,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3246
Jordan Walden,- - -,243,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3271
Masa Kobayashi,CLE,67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3276
Yasuhiko Yabuta,KCR,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3277
Kazuo Fukumori,TEX,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3288
Jesus Delgado,FLA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3308
Alberto Castillo,- - -,79,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3316
Arturo Lopez,SDP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3319
Jairo Asencio,- - -,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3332
Jon Meloan,- - -,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3355
Robert Ray,TOR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3359
Anderson Garcia,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3377
Armando Gabino,- - -,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3387
Heath Phillips,CHW,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3396
A.J. Murray,TEX,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3422
Kevin Whelan,- - -,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3462
Jason Waddell,CHC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3474
Macay McBride,- - -,109,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3475
Phil Barzilla,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3486
Devon Lowery,KCR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3500
Willie Collazo,NYM,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3503
Lee Gronkiewicz,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3508
Henry Owens,- - -,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3520
Jonathan Albaladejo,- - -,66,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3521
Tony Barnette,- - -,127,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3555
D.J. Houlton,LAD,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3566
Charlie Manning,WSN,57,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3578
Chase Wright,NYY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3593
Chris Britton,- - -,78,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3600
Mauro Zarate,FLA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3621
David Pauley,- - -,91,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3625
Trystan Magnuson,OAK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3646
Andy Sisco,- - -,84,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3706
Everett Teaford,- - -,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3732
Brian Broderick,WSN,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3773
Jess Todd,- - -,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3805
Marcus McBeth,CIN,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3874
Shane Lindsay,CHW,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3881
Jon Link,LAD,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3894
Enrique Burgos,ARI,73,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3895
Jason Bulger,LAA,116,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3915
Casey Fien,- - -,303,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3926
Doug Mathis,TEX,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3944
Marcus Hatley,STL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4002
Dan Cortes,SEA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4027
Victor Garate,WSN,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4036
Steve Johnson,- - -,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4053
Alex Burnett,- - -,177,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4065
Christian Garcia,WSN,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4067
Anthony Claggett,- - -,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4116
Edward Paredes,LAD,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4168
Charlie Zink,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4180
Rafael Dolis,CHC,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4185
Fu-Te Ni,DET,58,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4199
Enerio Del Rosario,- - -,84,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4204
Lance Pendleton,- - -,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4214
Frank Mata,BAL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4230
Humberto Sanchez,NYY,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4303
Aaron Poreda,- - -,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4313
Jordan De Jong,TOR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4329
Royce Ring,- - -,84,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4350
Chris Demaria,MIL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4361
Jesse Carlson,TOR,162,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4391
Josh Wall,- - -,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4436
Travis Chick,SEA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4524
Zach Braddock,MIL,71,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4553
Jonah Bayliss,PIT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4560
Brent Leach,LAD,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4576
Tobi Stoner,NYM,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4591
Sean Tracey,CHW,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4621
Mark McLemore,HOU,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4655
Hunter Jones,- - -,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4656
Eric Hull,LAD,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4660
Pat Neshek,- - -,544,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4682
Nate Jones,CHW,284,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4696
Joel Zumaya,DET,171,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4699
Brian Slocum,CLE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4705
Mickey Storey,- - -,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4721
Shane Komine,OAK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4754
Bill Murphy,- - -,18,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4755
Brad Halsey,OAK,52,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4760
Vinnie Pestano,- - -,224,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4782
Craig Hansen,- - -,91,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4798
Edwar Ramirez,- - -,103,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4830
Clay Rapada,- - -,152,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4831
Ryan Kelly,ATL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4858
Billy Petrick,CHC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4865
Joseph Colon,CLE,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4920
Devern Hansack,BOS,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,4939
Jake Diekman,- - -,441,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5003
Rob Delaney,- - -,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5100
Sammy Gervacio,HOU,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5127
Victor Marte,- - -,82,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5158
Brandon Mann,TEX,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5172
C.C. Lee,CLE,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5177
Brayan Villarreal,- - -,74,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5180
Edgar Ibarra,LAA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5195
Kelvin Marte,PIT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5200
Rudy Owens,HOU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5226
Casey Crosby,DET,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5261
Mark Hamburger,TEX,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5329
Atahualpa Severino,WSN,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5332
D.J. Mitchell,NYY,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5354
Henry Villar,HOU,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5360
Brett Marshall,NYY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5364
Jorge De Leon,HOU,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5397
Amauri Sanit,NYY,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5436
Matt DeSalvo,- - -,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5439
Chia-Jen Lo,HOU,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5440
Arodys Vizcaino,- - -,206,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5498
Fernando Hernandez,OAK,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5536
Jared Wells,- - -,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5538
Dewon Day,CHW,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5542
Jay Marshall,OAK,61,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5546
Randor Bierd,BAL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5555
Sean White,SEA,105,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5564
